business_id,labels
003sg,1 2 3 5 6
00er5,1 2 3 5 6
00kad,1 2 3 5 6 8
00mc6,3 5 6 8
00q7x,1 2 3 5 6 8
00v0t,1 2 5 6 8
00y7p,2 3 5 6 8
019fg,3 5 6 8
019r1,3 5 6 8
01i5j,1 2 3 5 6
01is9,1 2 3 5 6 8
01mrb,1 2 3 5 6 8
01pyb,1 2 5 6 8
01s0p,1 2 3 5 6 8
01xsq,1 2 3 5 6
021oz,1 2 3 5 6 8
026nc,1 2 3 5 6
02bwy,3 8
02d9t,1 2 5 6 8
02eos,1 2 3 5 6
02fio,1 2 5 6 8
02pxt,1 2 3 5 6 8
02qrp,3 5 8
02rfd,5 6 8
0357u,3 5 6 8
035x6,1 2 3 5 6
038l4,5 6 8
03bbu,1 2 3 5 6 8
03ked,3 5 6 8
03m8y,6 8
03vx8,1 2 5 6
03yz9,1 2 3 5 6 8
040nh,6 8
042hy,1 2 3 5 6 8
044sl,1 2 3 5 6 8
045qe,1 2 3 5 6 8
04944,1 2 3 5 6
04cy7,1 2 3 5 6 8
04ilw,3 5 6 8
04imx,3 8
04kgm,1 2 5 6
04ud9,2 5 6 8
04wn2,1 2 3 5 6 8
04zgs,1 2 3 5 6
050l6,1 2 5 6 8
0573e,1 2 3 5 6
057qc,3 8
05fb2,1 2 3 5 6
05h9r,1 2 5 6
05ihx,1 2 5 6
05jhx,1 2 3 5 6
05rwc,1 2 3 5 6
06cko,1 2 3 5 6
06fzh,1 2 3 5 6 8
06gbm,1 2 5 6
06ml0,1 2 5 6
06p0g,1 2 5 6
06ums,1 2 3 5 6
06vhp,1 2 3 5 6
0707d,1 2 3 5 6 8
070ll,5 6 8
077lb,1 2 5 6 8
07bbs,1 2 5 6 8
07gmf,3 5 6 8
07nri,1 2 5 6 8
07o52,1 2 5 6
084gg,1 2 5 6 8
084v2,3 6 8
08dzw,1 2 3 5 6 8
08h8f,1 2 3 5 6
08ni5,1 2 5 6
08oeq,1 2 3 5 6
08wfz,1 2 3 5 6
0916a,1 2 3 5 6
092lt,5 6 8
098ef,1 2 5 6
098un,1 2 3 5 6 8
09ckq,3 5 6 8
09ejq,1 2 3 5 6 8
09iat,1 2 3 5 6
09kll,1 2 3 5 6
09pmi,1 2 3 5 6 8
09ptq,2 3 5 6 8
09w5k,1 2 5 6 8
0a1ko,1 2 3 5 6
0a45c,1 2 5 6 8
0a938,2 5 6 8
0adc9,2 5 6 8
0adst,6 8
0ahhr,3 6 8
0aj6u,1 2 3 5 6
0akmq,1 2 5 6
0au0t,3 5 6 8
0axc7,1 2 3 4 5 6 7
0axvc,1 2 5 6
0b8ky,3 6 8
0bcfg,1 2 3 5 6
0beyy,1 2 3 5 6 8
0bnm5,3 5 6 8
0bzjp,1 2 3 5 6
0bzjx,1 2 5 6
0c5ka,1 2 5 6 8
0cbyt,1 2 3 5 6
0cjq2,1 2 3 5 6
0cnbh,1 2 3 5 6 8
0cvd1,1 2 3 5 6 8
0cyxs,5 6 8
0dbg2,1 2 3 5 6
0ddwy,3 5 6 8
0dfrm,1 2 5 6
0div3,6 8
0djgl,1 2 5 6
0e2eh,1 2 3 5 6 8
0e3bg,1 2 3 5 6 8
0e3cn,1 2 3 5 6 8
0e69f,1 2 3 5 6 8
0eilg,1 2 3 5 6 8
0em68,2 3 5 6 8
0eolh,1 2 5 6 8
0eps4,1 2 3 5 6 8
0eqm9,3 5 6 8
0ey3w,1 2 3 5 6
0f3qk,1 2 3 5 6
0f46h,1 2 5 6
0f4hh,1 2 3 5 6 8
0fbnt,1 2 3 5 6
0fenh,1 2 5 6 8
0fo37,3 5 6 8
0frr7,1 2 3 5 6
0ftqi,5 6 8
0ftr0,1 2 5 6
0g47h,1 2 3 5 6
0gbv7,3 5 6 8
0ghm5,1 2 3 5 6 8
0gjgs,1 2 3 5 6 8
0gnbb,1 2 3 5 6 8
0gtmi,1 2 3 5 6 8
0gxlt,1 2 3 5 6
0h0hd,1 2 3 5 6 8
0h1a4,1 2 5 6
0h4wo,1 2 3 5 6 8
0h5qu,1 2 5 6 7
0h8d4,1 2 3 5 6 8
0h8d5,1 2 5 6
0hbpj,1 2 3 5 6 8
0hfot,1 2 5 6 8
0hlhs,1 2 5 6 8
0hqkx,1 2 3 5 6
0hr59,5 6 8
0hv5j,5 6 8
0hx8q,1 2 3 5 6
0hy2b,1 2 3 5 6 8
0hyg2,1 2 3 5 6
0i4yt,1 2 3 5 6
0i5sb,5 6 8
0ib7h,2 5 6 8
0iiax,2 3 5 6 8
0iimp,1 2 3 5 6 8
0il9j,1 2 3 5 6
0imrj,1 2 5 6 8
0imwn,1 2 5 6 8
0iuhw,8
0j2q7,0 8
0j8vu,1 2 3 5 6
0j8zu,1 2 5 6 8
0jbjh,1 2 5 6
0jc5r,1 2 3 5 6
0jc65,1 2 5 6 8
0jfku,1 2 3 5 6 8
0jiz6,5 6 8
0jty2,3 5 8
0jvh7,1 2 5 6
0k4ul,1 2 3 5 6 8
0ke39,1 2 3 5 6 8
0l70b,1 2 3 5 6
0la7t,1 2 3 5 6
0laj4,1 2 3 5 6
0llgh,1 2 3 5 6
0lmxz,1 2 3 5 6
0lyuo,3 8
0lz84,1 2 3 5 6 8
0m08q,0 3 8
0m3wj,1 2 5 6 8
0m7ri,1 2 3 5 6 8
0maca,6 8
