business_id;percentage_removed;counts
4q512;50;1
18cak;46,66666667;8
1wpjf;45,45454545;12
0okpg;38,88888889;11
znmff;35,29411765;11
31y16;33,33333333;4
1osph;31,25;11
wy7ss;31,25;11
dsunr;29,91452991;82
2rwpd;25,42372881;44
uxy8h;25;15
4nbue;24,7706422;82
7u4qu;22,22222222;7
vnrt4;21,875;25
9ro98;20,83333333;19
nkjgm;20,83333333;19
n9j1z;20;64
x4ekb;20;4
54133;19,51219512;33
wijfj;19,04761905;17
bmz5l;18,86792453;43
a58kk;18,36734694;40
rf3se;17,64705882;14
qoena;17,24137931;24
0qj4g;16,66666667;10
jraec;16,66666667;30
mryv1;16,66666667;10
r3lh6;16,66666667;5
xja4b;16,66666667;10
yf2mm;16,66666667;20
dzq62;15,87301587;53
iqc49;15,78947368;16
s2hwc;15,38461538;11
wdjzw;14,94252874;74
s98b3;14,81481481;23
h2zzc;14,75409836;52
2h44q;14,28571429;18
7vwbq;14,28571429;12
9h9s9;14,28571429;6
azsgg;14,28571429;6
j9plq;14,28571429;6
myy4o;14,28571429;6
se1ko;14,28571429;6
uup28;14,28571429;18
3n1vw;13,40206186;84
6i7mk;13,33333333;39
r7jzw;13,33333333;26
zprvi;13,04347826;20
wfvzs;12,98701299;67
zsd8q;12,90322581;27
0fo37;12,79069767;75
2tse9;12,5;7
gv2cc;12,5;7
m2qvx;12,5;7
n2ey7;12,5;14
qovf1;12;66
emklg;11,86440678;52
d0yfe;11,76470588;15
fhuf5;11,62790698;38
y86e1;11,62790698;38
qxvoo;11,47540984;54
n64hb;11,36363636;39
w2o2z;11,36363636;39
e2v91;11,32075472;47
4nalr;11,11111111;24
8claj;11,11111111;16
9yqa2;11,11111111;8
em124;11,11111111;16
z2yhv;11,11111111;8
hijk9;10,81081081;33
1stpo;10,52631579;17
p03zs;10,52631579;17
lm320;10,34482759;26
nrwwd;10,34482759;26
019fg;10;9
2wd4x;10;18
5tvuq;10;9
5wl6j;10;9
bhewd;10;18
d6kca;10;18
fo7lu;10;36
jx332;10;18
m887c;10;18
sin1k;10;36
prcsg;9,803921569;46
pp1eq;9,677419355;28
z70xt;9,677419355;56
szp4l;9,615384615;47
26spn;9,523809524;19
mwepm;9,523809524;19
rhbgm;9,523809524;19
4uoyi;9,090909091;10
6h41d;9,090909091;10
6mfbu;9,090909091;20
acl2q;9,090909091;20
c3ahn;9,090909091;20
egcpo;9,090909091;20
ke186;9,090909091;10
q80x3;9,090909091;10
rl60c;9,090909091;20
rvhc1;9,090909091;10
teq03;9,090909091;30
wsniv;9,090909091;20
u4jia;8,888888889;41
golmc;8,823529412;31
wtrto;8,823529412;62
0e3cn;8,695652174;42
0ftr0;8,695652174;21
fkpdg;8,695652174;63
itihd;8,695652174;21
sa7ns;8,695652174;63
sgqlq;8,695652174;42
sv9js;8,695652174;21
xa074;8,571428571;32
9mhrp;8,510638298;43
1pdge;8,333333333;11
1tp9i;8,333333333;33
3jdn8;8,333333333;22
9girz;8,333333333;22
a2cl0;8,333333333;33
doztd;8,333333333;11
i34vy;8,333333333;22
jx7sn;8,333333333;11
kxghm;8,333333333;11
lbuef;8,333333333;11
nze1h;8,333333333;11
o28aw;8,333333333;33
oejm2;8,333333333;11
r7f8t;8,333333333;11
rjmvs;8,333333333;11
wbmu4;8,333333333;33
y08ge;8,333333333;22
z70r9;8,333333333;11
