,img,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,true_label
3926,img_100605.jpg,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,0.01,0
925,img_100656.jpg,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.64,0
6445,img_100828.jpg,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.96,0
7268,img_10141.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.97,0
4702,img_101613.jpg,0.02,0.01,0.01,0.01,0.19,0.01,0.01,0.01,0.01,0.78,0
7329,img_101668.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00,0
5709,img_101702.jpg,0.21,0.01,0.76,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
2184,img_101859.jpg,0.19,0.66,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0
76,img_10314.jpg,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.40,0.44,0.02,0
6486,img_10446.jpg,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.93,0
7251,img_10514.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,0
48,img_1063.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.32,0.65,0
6474,img_10741.jpg,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.95,0.01,0
6425,img_10792.jpg,0.24,0.62,0.01,0.01,0.01,0.10,0.01,0.01,0.02,0.01,0
4682,img_1083.jpg,0.05,0.01,0.01,0.08,0.01,0.01,0.01,0.10,0.72,0.03,0
4694,img_11259.jpg,0.01,0.01,0.01,0.03,0.01,0.01,0.05,0.01,0.94,0.02,0
4673,img_11474.jpg,0.02,0.01,0.01,0.01,0.45,0.01,0.11,0.01,0.01,0.42,0
2115,img_11914.jpg,0.44,0.01,0.01,0.48,0.01,0.01,0.01,0.01,0.05,0.01,0
28,img_12237.jpg,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.36,0
1007,img_12470.jpg,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.01,0.74,0
2116,img_12642.jpg,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.94,0.01,0
5750,img_12712.jpg,0.10,0.01,0.11,0.76,0.01,0.01,0.01,0.01,0.01,0.01,0
4658,img_12868.jpg,0.22,0.01,0.25,0.01,0.32,0.01,0.14,0.02,0.01,0.03,0
1000,img_13338.jpg,0.42,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.56,0
932,img_13357.jpg,0.49,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0
939,img_13639.jpg,0.49,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0
991,img_13699.jpg,0.34,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.66,0
7290,img_139.jpg,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.13,0.90,0
7259,img_13907.jpg,0.01,0.01,0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.66,0
4627,img_13922.jpg,0.01,0.01,0.01,0.20,0.07,0.01,0.68,0.01,0.03,0.01,0
3358,img_13935.jpg,0.01,0.01,0.01,0.01,0.01,0.19,0.01,0.01,0.80,0.01,0
2234,img_14027.jpg,0.45,0.55,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
2166,img_1421.jpg,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.97,0
2181,img_14223.jpg,0.14,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.86,0
