img,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
img_48693.jpg,0.170,0.068,0.014,0.116,0.066,0.128,0.052,0.160,0.098,0.128
img_44903.jpg,0.180,0.070,0.008,0.102,0.106,0.136,0.060,0.128,0.090,0.120
img_58514.jpg,0.204,0.062,0.012,0.086,0.068,0.128,0.046,0.130,0.102,0.162
img_62307.jpg,0.178,0.080,0.014,0.042,0.058,0.204,0.052,0.128,0.102,0.142
img_83984.jpg,0.228,0.056,0.008,0.086,0.084,0.106,0.064,0.118,0.104,0.146
img_91199.jpg,0.212,0.074,0.018,0.084,0.082,0.120,0.046,0.122,0.084,0.158
img_9484.jpg,0.214,0.086,0.014,0.062,0.058,0.114,0.052,0.122,0.090,0.188
img_48931.jpg,0.150,0.070,0.014,0.076,0.104,0.182,0.050,0.092,0.088,0.174
img_48886.jpg,0.204,0.092,0.006,0.060,0.084,0.146,0.064,0.116,0.088,0.140
img_86427.jpg,0.142,0.090,0.008,0.102,0.072,0.194,0.040,0.106,0.080,0.166
img_91696.jpg,0.196,0.082,0.002,0.100,0.082,0.144,0.046,0.110,0.082,0.156
img_69086.jpg,0.234,0.064,0.006,0.080,0.098,0.144,0.046,0.102,0.072,0.154
img_95339.jpg,0.192,0.086,0.008,0.084,0.092,0.158,0.046,0.098,0.098,0.138
img_39641.jpg,0.134,0.070,0.010,0.164,0.092,0.164,0.044,0.112,0.074,0.136
img_71674.jpg,0.140,0.070,0.020,0.142,0.108,0.178,0.058,0.082,0.068,0.134
img_36808.jpg,0.150,0.054,0.016,0.170,0.116,0.168,0.036,0.088,0.088,0.114
img_5519.jpg,0.248,0.034,0.010,0.072,0.112,0.104,0.044,0.090,0.086,0.200
img_47384.jpg,0.264,0.050,0.022,0.068,0.088,0.080,0.038,0.074,0.108,0.208
img_86851.jpg,0.320,0.036,0.024,0.070,0.076,0.054,0.036,0.046,0.112,0.226
img_68379.jpg,0.270,0.034,0.016,0.064,0.058,0.108,0.042,0.092,0.090,0.226
img_60553.jpg,0.148,0.070,0.010,0.084,0.082,0.262,0.042,0.118,0.068,0.116
img_36445.jpg,0.088,0.116,0.022,0.078,0.084,0.244,0.108,0.070,0.092,0.098
img_51537.jpg,0.066,0.148,0.016,0.112,0.094,0.190,0.082,0.076,0.092,0.124
img_56181.jpg,0.130,0.118,0.014,0.094,0.112,0.208,0.056,0.076,0.070,0.122
img_16467.jpg,0.154,0.126,0.024,0.084,0.104,0.152,0.084,0.056,0.106,0.110
img_82101.jpg,0.146,0.114,0.018,0.062,0.072,0.214,0.072,0.090,0.070,0.142
img_95056.jpg,0.158,0.112,0.020,0.062,0.084,0.198,0.094,0.078,0.060,0.134
img_94133.jpg,0.174,0.078,0.018,0.042,0.042,0.240,0.076,0.082,0.106,0.142
img_12237.jpg,0.154,0.122,0.022,0.036,0.050,0.170,0.104,0.082,0.138,0.122
