img,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
img_48693.jpg,0.73,0.01,0.01,0.01,0.01,0.08,0.01,0.04,0.07,0.07
img_44903.jpg,0.79,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.15,0.03
img_58514.jpg,0.63,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.17,0.17
img_62307.jpg,0.22,0.01,0.01,0.01,0.01,0.40,0.01,0.05,0.05,0.28
img_83984.jpg,0.78,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.11
img_91199.jpg,0.80,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.19
img_9484.jpg,0.56,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.43
img_48931.jpg,0.39,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.59
img_48886.jpg,0.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11
img_86427.jpg,0.69,0.01,0.01,0.01,0.01,0.06,0.01,0.01,0.01,0.25
img_91696.jpg,0.73,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26
img_69086.jpg,0.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09
img_95339.jpg,0.71,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.26
img_39641.jpg,0.79,0.01,0.01,0.01,0.01,0.10,0.01,0.01,0.01,0.11
img_71674.jpg,0.90,0.01,0.01,0.01,0.01,0.08,0.01,0.01,0.01,0.06
img_36808.jpg,0.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.04
img_5519.jpg,0.69,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.20
img_47384.jpg,0.48,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.31,0.19
img_86851.jpg,0.25,0.01,0.01,0.14,0.01,0.01,0.01,0.01,0.18,0.43
img_68379.jpg,0.41,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.34,0.26
img_60553.jpg,0.99,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01
img_36445.jpg,0.10,0.01,0.01,0.01,0.01,0.76,0.01,0.01,0.08,0.05
img_51537.jpg,0.04,0.01,0.01,0.01,0.01,0.56,0.01,0.01,0.12,0.27
img_56181.jpg,0.41,0.01,0.01,0.01,0.01,0.48,0.01,0.01,0.01,0.10
img_16467.jpg,0.66,0.01,0.01,0.01,0.01,0.27,0.01,0.01,0.03,0.03
img_82101.jpg,0.72,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.05
img_95056.jpg,0.71,0.01,0.01,0.01,0.01,0.24,0.01,0.01,0.02,0.03
img_94133.jpg,0.45,0.01,0.01,0.01,0.01,0.44,0.01,0.01,0.01,0.11
img_12237.jpg,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.36
img_80630.jpg,0.18,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.19,0.59
img_10582.jpg,0.55,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.38
img_14621.jpg,0.06,0.01,0.01,0.01,0.01,0.11,0.01,0.02,0.74,0.07
img_14970.jpg,0.69,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0.07,0.01
img_74672.jpg,0.56,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.23,0.16
img_100026.jpg,0.49,0.01,0.01,0.01,0.01,0.10,0.01,0.23,0.02,0.16
img_83502.jpg,0.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.06
img_93917.jpg,0.95,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.03,0.03
img_92507.jpg,0.18,0.01,0.01,0.01,0.01,0.68,0.01,0.01,0.04,0.09
img_12017.jpg,0.93,0.01,0.01,0.01,0.01,0.02,0.06,0.01,0.02,0.01
img_61415.jpg,0.07,0.01,0.01,0.01,0.01,0.91,0.01,0.01,0.06,0.01
img_2205.jpg,0.89,0.01,0.01,0.01,0.01,0.11,0.01,0.02,0.01,0.02
img_85798.jpg,0.94,0.01,0.01,0.01,0.01,0.06,0.01,0.04,0.01,0.01
img_39595.jpg,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_24291.jpg,0.79,0.01,0.01,0.01,0.07,0.01,0.01,0.03,0.08,0.03
img_22411.jpg,0.50,0.01,0.01,0.01,0.45,0.01,0.01,0.01,0.01,0.02
img_87735.jpg,0.88,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.02
img_27901.jpg,0.61,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.03,0.09
img_51736.jpg,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.06
img_1063.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.32,0.65
img_86533.jpg,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.89,0.11
img_79538.jpg,0.96,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01
img_88057.jpg,0.75,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.01
img_73279.jpg,0.95,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01
img_4020.jpg,0.86,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.11,0.01
img_19401.jpg,0.90,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.01
img_71452.jpg,0.66,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.31,0.01
img_37346.jpg,0.96,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.06
img_81517.jpg,0.96,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01
img_56056.jpg,0.99,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.02
img_39067.jpg,0.15,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.53
img_101175.jpg,0.51,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.48,0.01
img_57075.jpg,0.96,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.01
img_27997.jpg,0.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.10,0.03
img_28215.jpg,0.97,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.03
img_15197.jpg,0.19,0.01,0.01,0.01,0.01,0.20,0.01,0.02,0.53,0.06
img_28185.jpg,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.80,0.01
img_95245.jpg,0.42,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.57,0.01
img_58791.jpg,0.67,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.01
img_85940.jpg,0.36,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.61,0.01
img_50618.jpg,0.07,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.92,0.03
img_46441.jpg,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01
img_7031.jpg,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.90,0.01
img_97027.jpg,0.22,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.74,0.01
img_2113.jpg,0.89,0.01,0.01,0.01,0.01,0.09,0.01,0.01,0.07,0.01
img_51478.jpg,0.70,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.22,0.01
img_5237.jpg,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.72,0.01
img_10314.jpg,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.40,0.44,0.02
img_43958.jpg,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.79,0.01
img_41859.jpg,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.53,0.10
img_88453.jpg,0.79,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.01
img_21712.jpg,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.39,0.44,0.01
img_10247.jpg,0.01,0.02,0.01,0.01,0.04,0.01,0.01,0.01,0.97,0.01
img_81021.jpg,0.01,0.01,0.01,0.01,0.97,0.01,0.01,0.02,0.06,0.01
img_98647.jpg,0.07,0.06,0.01,0.01,0.75,0.01,0.01,0.08,0.03,0.01
img_6039.jpg,0.15,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.68,0.01
img_45420.jpg,0.01,0.96,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01
img_88381.jpg,0.09,0.10,0.01,0.01,0.76,0.03,0.01,0.01,0.02,0.01
img_53045.jpg,0.12,0.19,0.01,0.01,0.01,0.02,0.01,0.01,0.66,0.01
img_45976.jpg,0.21,0.14,0.01,0.01,0.28,0.03,0.01,0.08,0.27,0.01
img_2477.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.97,0.01
img_3470.jpg,0.13,0.11,0.01,0.04,0.01,0.01,0.01,0.01,0.71,0.01
img_42871.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01
img_8895.jpg,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.90,0.01
img_85319.jpg,0.37,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.54,0.01
img_53705.jpg,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.60,0.01
img_97835.jpg,0.16,0.08,0.01,0.36,0.01,0.01,0.01,0.03,0.35,0.01
img_3590.jpg,0.12,0.08,0.01,0.63,0.01,0.01,0.01,0.09,0.08,0.01
img_79033.jpg,0.06,0.01,0.01,0.10,0.01,0.01,0.01,0.01,0.85,0.01
img_33965.jpg,0.16,0.05,0.01,0.62,0.01,0.01,0.01,0.01,0.06,0.08
img_74582.jpg,0.13,0.01,0.01,0.45,0.01,0.01,0.01,0.01,0.40,0.01
img_48025.jpg,0.06,0.01,0.01,0.93,0.01,0.01,0.01,0.01,0.04,0.01
img_68509.jpg,0.21,0.04,0.01,0.23,0.01,0.01,0.01,0.01,0.49,0.02
img_50839.jpg,0.09,0.01,0.01,0.13,0.01,0.01,0.01,0.01,0.76,0.01
img_18674.jpg,0.21,0.01,0.01,0.35,0.02,0.01,0.01,0.02,0.34,0.04
img_98532.jpg,0.03,0.05,0.01,0.88,0.01,0.01,0.01,0.01,0.08,0.01
img_66790.jpg,0.04,0.23,0.01,0.18,0.01,0.01,0.01,0.01,0.53,0.01
img_80626.jpg,0.02,0.34,0.01,0.46,0.01,0.01,0.01,0.07,0.02,0.07
