business_id,labels
003sg,2 3 5 6 8
00er5,5 6 8
00kad,2 5 6 8
00mc6,5 6 8
00q7x,1 2 5 6
00v0t,3 5 6 8
00y7p,2 5 6 8
019fg,1 2 5 6 8
019r1,5 6 8
01i5j,1 2 5 6
01is9,2 3 5 6 8
01mrb,2 5 6 8
01pyb,1 2 5 6
01s0p,5 6 8
01xsq,5 6 8
021oz,2 3 5 6 8
026nc,1 2 5 6 8
02bwy,5 6 8
02d9t,3 5 6 8
02eos,1 2 5 6 8
02fio,5 6 8
02pxt,3 5 6 8
02qrp,5 6 8
02rfd,2 5 6 8
0357u,1 2 5 6 8
035x6,2 5 6 8
038l4,2 5 6 8
03bbu,2 5 6 8
03ked,1 2 5 6 8
03m8y,5 6 8
03vx8,1 2 5 6 8
03yz9,2 5 6 8
040nh,2 5 6 8
042hy,2 5 6 8
044sl,1 5 6 8
045qe,5 6 8
04944,2 5 6 8
04cy7,2 5 6 8
04ilw,2 5 6 8
04imx,5 6 8
04kgm,2 3 5 6 8
04ud9,5 6 8
04wn2,1 2 5 6 8
04zgs,2 5 6 8
050l6,5 6 8
0573e,1 2 5 6 8
057qc,5 6 8
05fb2,3 5 6 8
05h9r,2 3 5 6 8
05ihx,1 2 3 5 6 8
05jhx,5 6 8
05rwc,2 3 5 6 8
06cko,2 5 6 8
06fzh,2 5 6 8
06gbm,2 3 5 6 8
06ml0,2 3 5 6 8
06p0g,1 2 5 6 8
06ums,1 2 5 6 8
06vhp,2 5 6 8
0707d,2 5 6 8
070ll,1 5 6 8
077lb,5 6 8
07bbs,2 5 6 8
07gmf,5 6 8
07nri,2 3 5 6 8
07o52,2 3 5 6 8
084gg,2 3 5 6 8
084v2,2 3 5 6 8
08dzw,2 3 5 6 8
08h8f,2 5 6 8
08ni5,2 5 6 8
08oeq,2 5 6 8
08wfz,2 5 6 8
0916a,2 5 6 8
092lt,1 2 5 6 8
098ef,2 3 5 6 8
098un,5 6 8
09ckq,2 3 5 6 8
09ejq,2 5 6 8
09iat,2 5 6 8
09kll,1 2 5 6 8
09pmi,3 5 6 8
09ptq,1 2 5 6 8
09w5k,5 6 8
0a1ko,5 6 8
0a45c,2 5 6 8
0a938,2 5 6 8
0adc9,1 2 5 6 8
0adst,2 3 5 6 8
0ahhr,5 6 8
0aj6u,2 5 6 8
0akmq,1 2 3 5 6 8
0au0t,1 2 5 6 8
0axc7,1 2 3 5 6 8
0axvc,2 5 6 8
0b8ky,5 6 8
0bcfg,2 5 6 8
0beyy,2 5 6 8
0bnm5,2 3 5 6 8
0bzjp,2 5 6 8
0bzjx,2 5 6 8
0c5ka,2 3 5 6 8
0cbyt,1 2 5 6 8
0cjq2,2 5 6 8
0cnbh,3 5 6 8
0cvd1,2 5 6 8
0cyxs,3 5 6 8
0dbg2,1 2 5 6 8
0ddwy,3 5 6 8
0dfrm,2 5 6 8
