business_id,labels
003sg,2 3 5 6
00er5,2 3 5 6
00kad,2 3 5 6
00mc6,1 2 3 5 6
00q7x,2 3 5 6
00v0t,2 3 5 6
00y7p,2 3 5 6 8
019fg,3 5
019r1,3 5 6 8
01i5j,2 3 5 6
01is9,2 3 5 6
01mrb,2 3 5 6
01pyb,2 3 5 6
01s0p,2 3 5 6
01xsq,2 3 5 6
021oz,2 3 5 6
026nc,2 3 5 6
02bwy,2 3 5 6 8
02d9t,2 3 5 6
02eos,2 3 5 6
02fio,1 2 3 5 6 8
02pxt,2 3 5 6
02qrp,2 3 5 6
02rfd,2 3 5 6
0357u,2 3 5 6
035x6,2 3 5 6
038l4,2 3 5 6
03bbu,2 3 5 6 8
03ked,2 3 5 6
03m8y,2 3 5 6 8
03vx8,2 3 5 6
03yz9,2 3 5 6
040nh,2 3 5 6
042hy,2 3 5 6
044sl,2 3 5 6 8
045qe,2 3 5 6
04944,2 3 5 6
04cy7,2 3 5 6
04ilw,2 3 5 6
04imx,2 3 5 6 8
04kgm,2 3 5 6
04ud9,2 3 5 6 8
04wn2,2 3 5 6
04zgs,2 3 5 6
050l6,2 3 5 6 8
0573e,2 3 5 6
057qc,3 5 6 8
05fb2,2 3 5 6
05h9r,1 2 3 5 6
05ihx,1 2 3 4 5 6 7
05jhx,2 3 5 6
05rwc,2 3 5 6
06cko,2 3 5 6
06fzh,2 3 5 6
06gbm,2 3 5 6
06ml0,2 3 5 6
06p0g,1 2 3 5 6
06ums,2 3 5 6
06vhp,2 3 5 6
0707d,2 3 5 6
070ll,5 6 8
077lb,2 3 5 6 8
07bbs,2 3 5 6
07gmf,2 3 5 6 8
07nri,1 2 3 5 6
07o52,2 3 5 6
084gg,2 3 5 6
084v2,3 5
08dzw,2 3 5 6
08h8f,2 3 5 6
08ni5,2 3 5 6
08oeq,2 3 5 6
08wfz,2 3 5 6
0916a,2 3 5 6
092lt,2 3 5 6
098ef,2 3 5 6
098un,2 3 5 6 8
09ckq,2 3 5 6 8
09ejq,2 3 5 6
09iat,2 3 5 6
09kll,2 3 5 6
09pmi,2 3 5 6
09ptq,2 3 5 6
09w5k,2 3 5 6
0a1ko,2 3 5 6 8
0a45c,2 3 5 6
0a938,2 3 5 6 8
0adc9,2 3 5 6 8
0adst,2 3 5 6
0ahhr,2 3 5 6 8
0aj6u,2 3 5 6
0akmq,1 2 3 5 6
0au0t,3 5 6
0axc7,1 2 3 4 5 6
0axvc,2 3 5 6
0b8ky,2 3 5 6 8
0bcfg,2 3 5 6
0beyy,2 3 5 6
0bnm5,1 2 3 5 6
0bzjp,2 3 5 6
0bzjx,2 3 5 6
0c5ka,2 3 5 6
0cbyt,2 3 5 6
0cjq2,2 3 5 6
0cnbh,2 3 5 6
0cvd1,2 3 5 6 8
0cyxs,2 3 5 6
0dbg2,2 3 5 6
0ddwy,2 3 5 6
0dfrm,2 3 5 6 8
0div3,1 2 3 5 6
0djgl,2 3 5 6
0e2eh,2 3 5 6
0e3bg,2 3 5 6
0e3cn,2 3 5 6
0e69f,2 3 5 6
0eilg,2 3 5 6
0em68,2 3 5 6 8
0eolh,2 3 5 6 8
0eps4,2 3 5 6
0eqm9,2 3 5 6
0ey3w,2 3 5 6
0f3qk,2 3 5 6
0f46h,2 3 5 6
0f4hh,2 3 5 6
0fbnt,2 3 5 6
0fenh,1 2 3 5 6
0fo37,2 3 6 8
0frr7,2 3 5 6
0ftqi,3 5 6
0ftr0,2 3 5 6
0g47h,2 3 5 6
0gbv7,3 5 6 8
0ghm5,2 3 5 6
0gjgs,2 3 5 6
0gnbb,2 3 5 6 8
0gtmi,2 3 5 6
0gxlt,2 3 5 6
0h0hd,2 3 5 6
0h1a4,2 3 5 6
0h4wo,2 3 5 6
0h5qu,1 2 3 4 5 6
0h8d4,1 2 3 5 6
0h8d5,1 2 3 5 6 8
0hbpj,2 3 5 6 8
0hfot,2 3 5 6 8
0hlhs,2 3 5 6
0hqkx,2 3 5 6
0hr59,2 3 5 6
0hv5j,2 3 5 6 8
0hx8q,2 3 5 6
0hy2b,2 3 5 6
0hyg2,2 3 5 6
0i4yt,2 3 5 6
0i5sb,3 5
0ib7h,2 3 5 6
0iiax,1 2 3 5 6
0iimp,1 2 3 5 6
0il9j,1 2 3 5 6
0imrj,2 3 5 6
0imwn,2 3 5 6
0iuhw,2 3 5 6
0j2q7,3 5 6
0j8vu,2 3 5 6
0j8zu,2 3 5 6
0jbjh,2 3 5 6
0jc5r,2 3 5 6
0jc65,2 3 5 6
0jfku,2 3 5 6
0jiz6,2 3 5 6 8
0jty2,2 3 5 6
0jvh7,1 2 3 5 6
0k4ul,2 3 5 6
0ke39,2 3 5 6
0l70b,2 3 5 6
0la7t,2 3 5 6
0laj4,2 3 5 6
0llgh,2 3 5 6
0lmxz,2 3 5 6
0lyuo,3 5 6 8
0lz84,2 3 5 6
0m08q,3 6 8
0m3wj,2 3 5 6
0m7ri,2 3 5 6
0maca,2 3 5 6
0mmu4,2 3 5 6
0mreo,1 2 3 5 6
0n1ay,1 2 3 5 6 8
0n2m1,2 3 5 6
0n4nu,2 3 5 6
0n8do,2 3 5 6
0n8et,2 3 5 6
0n8t4,2 3 5 6
0nn94,2 3 5 6
0nq6o,2 3 5 6
0nq8g,2 3 5 6 8
0nr91,2 3 5 6 8
0nrue,1 2 3 5 6
0nyh7,2 3 5 6 8
0o9fn,2 3 5 6
0ob7h,2 3 5 6
0oi66,2 3 5 6
0okpg,3 5 6
0omun,3 5
0oq6q,2 3 5 6 8
0ov4f,2 3 5 6 8
0ox18,2 3 5 6
0p81n,2 3 5 6
0pac2,1 2 3 5 6
0pdq3,2 3 5 6
0phk2,2 3 5 6
0pmkh,1 2 3 5 6
0poig,3 8
0prxg,2 3 5 6
0pthg,3 5 6
0pwam,2 3 5 6
0q08m,2 3 5 6
0q2ua,2 3 5 6 8
0q3on,2 3 6 8
0q6bl,2 3 5 6
0qevl,2 3 5 6
0qj4g,3 8
0qy5h,2 3 5 6
0qz6n,2 3 5 6
0rc3e,2 3 5 6
0re2p,2 3 5 6 8
0rgkv,2 3 5 6 8
0rorx,2 3 5 6
0rq2p,2 3 5 6
0rqis,2 3 5 6
0ruub,1 2 3 5 6
0rzi7,2 3 5 6
0s3z5,2 3 5 6
0s7wm,2 3 5 6
0s8h6,2 3 5 6
0s9nf,1 2 3 5 6 8
0scv4,2 3 5 6
0shj8,2 3 5 6
0stwm,1 2 3 5 6
0svix,2 3 5 6
0swcw,2 3 5 6 8
0swrj,2 3 5 6
0t34n,2 3 5 6 8
0t3cj,2 5 6
0t3ix,2 3 5 6
0t6ke,1 2 3 5 6
0tabm,2 3 5 6 8
0tc9p,2 3 5 6 8
0tqv0,2 3 5 6
0trt0,3 5 6 8
0tudg,2 3 5 6
0u1l6,2 3 5 6
0u8hj,2 3 5 6 8
0ugkn,1 2 3 5 6
0uhqx,2 3 5 6
0ulsw,2 3 5 6
0unkr,2 3 5 6
0uv14,2 3 5 6
0v1p7,2 3 5 6
0v6gl,2 3 5 6
0v8j8,3 5 6 8
0vd8s,2 3 5 6
0vre2,2 3 5 6
0vtru,2 3 5 6
0w01d,3 8
0w67f,2 3 5 6
0w6cx,2 3 5 6
0wkxz,2 3 5 6
0wn4d,2 3 5 6
0wof6,2 3 5 6
0wuwu,1 2 3 5 6
0wxz7,1 2 3 5 6
0wyma,2 3 5 6 8
0x908,2 3 5 6
0x9my,2 3 5 6
0xbc6,2 3 5 6
0xg8y,2 3 5 6
0xn17,2 3 5 6
0xnm9,3 5 8
0xo8z,2 3 5 6 8
0xveu,2 3 5 6
0y2o3,2 3 5 6
0ycld,2 3 5 6 8
0yhrn,2 3 5 6
0yqq9,2 3 5 6
0z01d,1 2 3 5 6
0z57b,2 3 5 6
0z5ry,2 3 5 6
0z6vo,2 3 5 6
0zb7e,2 3 5 6
0zg3y,2 3 6
0zrov,2 3 5 6
0zzlg,2 3 5 6
102f2,2 5 6 8
103ir,2 3 5 6
10drp,2 3 5 6
10p5u,2 3 5 6
10wjv,2 3 5 6 8
10xh1,2 3 5 6
10z4d,2 3 5 6
1105p,2 3 5 6
113vs,2 3 5 6
118bv,2 3 5 6
118ux,2 3 5 6
11aib,2 3 5 6
11gpr,2 3 5 6
11ioq,2 3 5 6
11m2v,2 3 5 6
11oi1,2 3 5 6 8
11sk5,2 3 5 6
11uii,2 3 5 6
122v6,2 3 5 6
123w4,2 3 5 6
1263s,2 3 5 6 8
12mex,2 3 5 6 8
12p62,2 4 5 6
12q8i,3 5 6
131go,2 3 5 6
13frb,2 3 5 6 8
13fw1,2 3 5 6
13jt0,2 3 5 6
13kjn,2 3 5 6
13nuw,2 3 5 6
13qgp,2 3 5 6
13wxb,2 3 5 6
144vd,2 3 5 6
149zx,2 3 5 6
14ipn,2 3 5 6
14m5f,2 3 5 6
14zfw,2 3 5 6
152yz,2 3 5 6
155ip,2 3 5 6
1584k,2 3 5 6
15918,2 3 5 6
15a44,2 3 5 6
15dh9,2 3 5 6
15k7r,1 2 3 4 5 6 7
15ofc,2 3 8
15qyl,2 3 5 6
15tqa,2 3 5 6
16145,2 3 5 6 8
16153,1 2 3 5 6
163jv,2 3 5 6
164ok,2 3 5 6
169vn,2 3 5 6
16chm,1 2 3 5 6
16l5s,2 3 5 6
16m1r,1 2 3 5 6
16o2x,2 3 5 6
1757b,2 3 5 6
175ez,2 3 5 6 8
17ctg,2 3 5 6
17lt8,2 3 5 6
17pb7,2 3 5 6
17qtl,2 3 5 6
17r96,2 3 5 6
17w4d,2 3 5 6
17wka,2 3 5 6
17ymz,2 3 5 6
182ao,1 2 3 5 6
188mq,2 3 5 6 8
18b3y,1 2 3 5 6
18cak,
18iem,1 2 3 5 6
18ljz,3 5 6 8
18r62,2 3 5 6
18uq1,2 3 5 6
19bod,2 3 5 6
19c32,2 3 5 6 8
19f70,1 2 3 5 6
19ga6,2 3 5 6
19pgl,2 3 5 6
19sm5,2 3 5 6
1a01j,1 2 3 5 6
1a6qc,2 3 5 6
1a9dn,2 3 5 6
1a9jq,2 3 5 6
