business_id,labels
003sg,6 8
00er5,2 3 6 8
00kad,1 6 8
00mc6,1 2 6 8
00q7x,2 5 6 8
00v0t,0 2 7
00y7p,0 1 2 5 6 8
019fg,0 2 3 5 6
019r1,0 1 5 7
01i5j,1 2 3 4 8
01is9,2 3 5 6
01mrb,1 2 5 8
01pyb,1 6 7 8
01s0p,0 3 6
01xsq,1 2 3 6 7 8
021oz,0 1 2 3 5 6 8
026nc,1 2 3 5 6 8
02bwy,0 2 3 5 8
02d9t,1 3 6 7 8
02eos,0 1 3 4 5
02fio,0 1 3 4 5 7
02pxt,1 2 6 8
02qrp,2 3 5 6
02rfd,2 5 8
0357u,0 5 6 8
035x6,2 3 4 5 6 7
038l4,0 2 6 8
03bbu,1 2 5 6 7
03ked,1 2 3 5 8
03m8y,1 3 6
03vx8,0 1 2 5 6 7
03yz9,3 5 6
040nh,2 4 5
042hy,1 2 5 6 7
044sl,0 2 3 5 6
045qe,2 3 5 6 8
04944,1 2 5 6 8
04cy7,0 2 3 4 5 6 7 8
04ilw,1 2 3 4 5 8
04imx,0 1 2 3 5
04kgm,3 5 6 7 8
04ud9,0 1 4 5 6 8
04wn2,0 1 2 3 8
04zgs,1 3 4 6 8
050l6,0 1 2 6 7 8
0573e,0 1 2 3 4 8
057qc,1 2 3 4 5 6 8
05fb2,0 1 2 3 6 7 8
05h9r,0 2 5 6 8
05ihx,3 5
05jhx,1 2 6 8
05rwc,1 3 4 5 8
06cko,1 2 5
06fzh,0 1 4 6 8
06gbm,5 6 8
06ml0,1 2 3 6 7 8
06p0g,5 6 8
06ums,1 2 3 6
06vhp,2 4 5 6 7 8
0707d,1 6 8
070ll,0 1 2 3 5 6 8
077lb,1 2 3 5 8
07bbs,0 4 5 6
07gmf,3 5
07nri,0 3 5
07o52,1 2 3 6 7
084gg,1 2 5 8
084v2,6 8
08dzw,1 3 4 6 7 8
08h8f,0 1 2 3 4 6 8
08ni5,2 3 8
08oeq,0 5 6 8
08wfz,5 6 8
0916a,2 3 5 6
092lt,0 2 3 6 7 8
098ef,0 1 2 5 6 7 8
098un,3 5 6
09ckq,0 2 3 6
09ejq,1 5 6 7 8
09iat,1 2 5 8
09kll,2 4 5 6
09pmi,0 8
09ptq,1 3 4 5 6
09w5k,6 8
0a1ko,0 4 5 6 8
0a45c,2 5 6 8
0a938,1 2 5 6 7 8
0adc9,1 2 3 6 8
0adst,0 1 3 4 5 6 7 8
0ahhr,5 6 8
0aj6u,0 2 6 8
0akmq,2 6 8
0au0t,1 2 5 6
0axc7,2 5 8
0axvc,2 3 4 5 6
0b8ky,0 2 3 5 6
0bcfg,1 2 3 8
0beyy,0 3 4 5 6 7 8
0bnm5,3 4 5 6 8
0bzjp,2 3 6 8
0bzjx,3 5
0c5ka,1 3 5 6
0cbyt,1 2 3
0cjq2,5 7 8
0cnbh,0 5 6
0cvd1,0 2 6 7 8
0cyxs,6
0dbg2,1 3
0ddwy,0 3 6 7 8
0dfrm,2 3 5 7 8
0div3,3 6
0djgl,2 5 6 7
0e2eh,0 1 4 5 6 8
0e3bg,1 4 5 6 7
0e3cn,2 6 8
0e69f,1 4 8
0eilg,1 2 3 4 6 8
0em68,0 1 2 4 5 8
0eolh,2 6
0eps4,2 3 5 8
0eqm9,0 1 3 6 7
0ey3w,0 4 6 7 8
0f3qk,2 6 7 8
0f46h,1 4 5 6 7 8
0f4hh,1 5 6 8
0fbnt,0
0fenh,1 2 3 4 6
0fo37,3 4 6 7
0frr7,0 2 3 4 5 6 8
0ftqi,1 3 4 5 6 8
0ftr0,1 4 6
0g47h,0 2 3 6 8
0gbv7,0 2 5 6
0ghm5,3 4 8
0gjgs,1 2 3 5 6 7
0gnbb,0 1 3 5 7 8
0gtmi,0 2 5 6 7 8
0gxlt,2 3 4 5 6 8
0h0hd,1 2 3 4 5 6 8
0h1a4,0 1 5 6 8
0h4wo,1 2 6 7 8
0h5qu,2 4 5 8
0h8d4,1 5 6 7 8
0h8d5,6 7 8
0hbpj,2 4 8
0hfot,1 2 3 6 8
0hlhs,3 4 5 6 8
0hqkx,1 2 4 5 6
0hr59,0 1 2 5 8
0hv5j,1 2 3 6
0hx8q,0 3 4
0hy2b,0 2 3 5 6 7 8
0hyg2,3 5 6 8
0i4yt,2 3 5 6 7
0i5sb,1 5 7 8
0ib7h,1 5 6 8
0iiax,3 6 8
0iimp,2 3 4 5 6 8
0il9j,4 5 6 8
0imrj,0 1 2 3 6
0imwn,1 4 5 6 8
0iuhw,2 3 6 7
0j2q7,1 5 8
0j8vu,0 2 3 4 5 6
0j8zu,1 2 3 8
0jbjh,1 2 3 7 8
0jc5r,0 1 2 4 6 7 8
0jc65,3 6 7
0jfku,0 1 3 6 8
0jiz6,2 3 5 6 7 8
0jty2,1 2 3 4 5
0jvh7,0 1 2 3 5 6 8
0k4ul,0 3 5 6 8
0ke39,1 3 6
0l70b,0 1 3 5 6 8
0la7t,2 3 6
0laj4,0 2 3 4 5 8
0llgh,0 4 5 6 7 8
0lmxz,1 2 4 6
0lyuo,1 4 5 6
0lz84,0 2 5 6 8
0m08q,1 2 3 4 6
0m3wj,1 2 4 5 6 7 8
0m7ri,3 5 6 7 8
0maca,1 2 4 5 6 8
0mmu4,3 5 8
0mreo,0 1 6 8
0n1ay,1 3 5 6 8
0n2m1,0 1 3
0n4nu,2 5 6 8
0n8do,0 1 3 4 6 8
0n8et,3 8
0n8t4,2 5 6 7 8
0nn94,1 2 5 6 7
0nq6o,0 1 2 3 5 6 7 8
0nq8g,6
0nr91,0 2 3 5 6 8
0nrue,3 6 7 8
0nyh7,1 5 6 7
0o9fn,0 3 4 5 6 8
0ob7h,0 2 3 5 6
0oi66,2 3 5 6 8
0okpg,1 3 5 8
0omun,2 3 5 6 8
0oq6q,2 3 5 8
0ov4f,2 3 5 6 8
0ox18,1 2 3 5 6 8
0p81n,0 1 3 5
0pac2,0 1 2 3 4 7 8
0pdq3,1 5 6 8
0phk2,1 2 7 8
0pmkh,2 3 5 7 8
0poig,6 8
0prxg,0 3 5
0pthg,0 1 2 5 6 7
0pwam,1 2 3 8
0q08m,0 2 3 4 5 6
0q2ua,2 3 4 5 8
0q3on,1 2 3 8
0q6bl,0 1 5 6
0qevl,0 2 3 6
0qj4g,2 3 5 7 8
0qy5h,0 1 2 3 4 5 6 8
0qz6n,1 2 3 4 5
0rc3e,1 2 5 6
0re2p,1 6 8
0rgkv,1 2 4 5 6
0rorx,1 3 5 8
0rq2p,1 2 4 6 8
0rqis,1 3 5 6 8
0ruub,1 2 4 5
0rzi7,3 5 6 8
0s3z5,2 3 6
0s7wm,0 3 5 6 8
