business_id,r_mean,r_sd,g_mean,g_sd,b_mean,b_sd,imagecount,h_mean,h_sd,w_mean,w_sd
3034,146.0,64.82283548256741,131.0,67.02238432046416,117.0,71.14773362518304,128.0,454.0,72.60853944268538,424.0,69.82836100038436
2805,134.0,74.81978348003956,108.0,72.3394774656273,87.0,71.33722730804723,119.0,438.0,77.86526825228306,428.0,75.65712127751095
485,131.0,66.24952830020754,103.0,65.13831437794502,83.0,61.82232606429493,306.0,416.0,84.33267456923205,436.0,84.01785524517987
1783,127.0,69.50539547402057,106.0,71.18988692223074,92.0,72.131823767322,99.0,446.0,85.84870412533901,421.0,93.67496997597597
35,121.0,78.26876771739798,94.0,69.0941386804988,85.0,67.19374970932937,669.0,421.0,80.1373820385967,452.0,72.44998274671983
1313,137.0,64.1404708432983,122.0,65.20736154760442,110.0,67.85278181474949,144.0,432.0,79.02531240052139,443.0,66.37770710110436
2787,129.0,70.31358332498779,106.0,68.33739825307956,91.0,68.99275324264136,219.0,427.0,76.01315675591957,442.0,68.5638388656878
3216,138.0,60.67948582511226,106.0,62.23343153000644,82.0,66.67083320313314,73.0,446.0,69.87846592477543,430.0,70.20683727387241
3385,103.0,75.59761901012492,77.0,69.12307863514182,59.0,62.433965115151864,597.0,438.0,76.08547824650904,435.0,70.28513356322232
2896,138.0,67.98529252713413,119.0,64.94613152451807,107.0,64.36614016701638,62.0,435.0,77.49838707999025,435.0,72.43617880589781
1193,123.0,74.1215218408257,91.0,71.386273190299,70.0,65.84831053261732,351.0,434.0,75.88807547961669,440.0,74.51174404078863
3703,126.0,68.30080526611674,95.0,66.88049042882386,78.0,63.54525946126902,185.0,418.0,69.31089380465383,456.0,69.83552104767315
3909,138.0,57.48912940721924,117.0,57.41950887982237,89.0,62.19324722186485,28.0,445.0,112.14722466472365,395.0,96.7212489580237
245,134.0,68.22756041366274,115.0,68.70953354520753,99.0,69.6419413859206,577.0,415.0,81.70679286326198,448.0,72.131823767322
1605,135.0,68.25686778632608,115.0,69.63476143421474,95.0,70.44146506142529,36.0,435.0,67.26068688320095,442.0,74.79973261984297
2997,127.0,71.31619731870173,106.0,69.6491205974634,90.0,66.65583245298194,739.0,444.0,75.28612089887484,432.0,72.26340706055866
3735,127.0,65.81033353509159,111.0,62.177166226839255,96.0,66.64082832618455,96.0,419.0,73.2666363360568,449.0,73.14369419163897
818,128.0,66.44546636152086,117.0,65.45227268781429,102.0,64.5445582524197,77.0,457.0,69.2820323027551,416.0,65.57438524302
3065,-74.0,117.52871989433051,-91.0,84.04165633779478,85.0,70.31358332498779,2239.0,427.0,77.76888838089432,443.0,76.05261336732617
1160,150.0,62.82515419798029,129.0,64.6297145282261,112.0,68.8040696470783,608.0,426.0,75.54468876102409,441.0,71.95137246779939
227,113.0,66.332495807108,102.0,65.26101439603893,92.0,66.69332800213226,51.0,454.0,63.80438856379708,415.0,71.05631569396206
2762,140.0,61.00819617067857,122.0,65.16901104052447,102.0,67.60177512462228,35.0,433.0,84.01785524517987,427.0,75.94076639065476
1185,123.0,67.7421582177598,104.0,67.468511173732,87.0,67.14164132637808,559.0,430.0,78.24960063795854,433.0,72.10409142344143
3038,120.0,70.09992867328754,96.0,63.26136261573884,75.0,60.73713855624086,63.0,407.0,59.16079783099616,466.0,63.74166612193315
1735,140.0,62.53798845501828,118.0,63.85922016435841,95.0,66.64082832618455,167.0,425.0,71.93747284969079,445.0,66.06814663663572
556,139.0,72.09022125087424,107.0,69.16646586316233,82.0,64.52906321960671,649.0,427.0,82.18272324521742,440.0,80.11242100947892
1661,121.0,78.95568377260753,97.0,75.69676347110224,82.0,72.20110802473879,360.0,430.0,76.49836599562111,450.0,72.82170006255004
1773,136.0,67.97058187186572,110.0,65.13831437794502,86.0,65.68104749469211,776.0,426.0,77.38216848861241,438.0,75.6042326857432
3382,106.0,75.4254598925323,83.0,69.54135460285484,70.0,64.59876159803684,294.0,377.0,89.4371287553441,459.0,83.55836283700154
1544,134.0,67.47592163134935,117.0,64.98461356351979,99.0,66.60330322138685,186.0,423.0,77.40800992145451,438.0,82.15229759416349
2339,-38.0,121.22293512368029,-57.0,93.552124508212,69.0,63.39558344238185,2974.0,439.0,74.71947537289057,438.0,70.36334272900912
2390,126.0,73.25981162956946,93.0,66.91786009728644,73.0,64.52131430775415,107.0,414.0,85.42247947700886,478.0,58.60034129593445
2416,102.0,61.43289021363068,90.0,64.51356446515724,82.0,68.54195795277518,17.0,417.0,79.02531240052139,441.0,66.04543890383347
1273,151.0,72.22188034107116,114.0,70.4769465853906,84.0,73.95944834840239,192.0,413.0,62.53798845501828,463.0,58.489315263559035
3341,130.0,75.75618786607468,99.0,73.35529974037323,80.0,70.27090436304346,38.0,402.0,80.0312438988674,446.0,73.28028384224504
1077,132.0,73.824115301167,110.0,71.33021800050803,92.0,71.25307010929424,1118.0,406.0,82.06095295571457,458.0,72.73926037567333
3999,123.0,71.99305522062528,99.0,71.42128534267638,86.0,70.0,183.0,447.0,72.5120679611332,422.0,75.2329714952161
1626,136.0,67.94850991743675,111.0,63.99218702310463,93.0,64.32728814430156,61.0,427.0,80.64118054691411,428.0,74.18220810949214
1035,144.0,67.48333127521195,127.0,69.39740629158989,112.0,70.39886362719217,73.0,410.0,80.43009387039157,446.0,73.70210309075311
3877,139.0,69.48381106416083,112.0,68.4470598345904,88.0,69.51258878793107,1146.0,426.0,77.64019577512668,449.0,69.90708118638626
2620,137.0,62.601916903558156,122.0,63.58458932791813,82.0,61.54673021371647,132.0,414.0,90.26073343375845,435.0,78.24960063795854
3076,128.0,67.83067152844649,103.0,64.66838485689897,85.0,64.96152707564686,772.0,430.0,74.51174404078863,440.0,74.12826721298698
1925,144.0,67.86751800382861,114.0,69.67065379340143,92.0,69.2820323027551,408.0,418.0,74.10802925459562,455.0,65.19969325081216
1168,145.0,63.34824385884742,119.0,65.66582063752801,91.0,68.00735254367721,86.0,439.0,73.2666363360568,430.0,69.51258878793107
